OBJECTID,GR,Nome_Estado,Codigo_Municipio,Nome_municipio,Pop_Total,Leitos_UTI_Total,Leitos_UTI_100mil_hab_Ind,Leitos_UTI_SUS_Total,Leitos_UTI_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
4790,Nordeste,Paraíba,2514701,São José do Sabugi,4141,0,0,0,0,0.016926732977268,0.622549810114479
4791,Nordeste,Rio Grande do Norte,2412401,São José do Seridó,4634,0,0,0,0,0.0142659285905324,0.564400113414766
4792,Sul,Rio Grande do Sul,4318614,São José do Sul,2408,0,0,0,0,0.00549502141052471,0.492062744439776
4793,Sudeste,Rio de Janeiro,3305158,São José do Vale do Rio Preto,21795,0,0,0,0,0.0192685884155708,1.05652888759784
4794,Centro-Oeste,Mato Grosso,5107354,São José do Xingu,5595,0,0,0,0,0.616463251275036,4.42812726085966
4795,Sul,Rio Grande do Sul,4318622,São José dos Ausentes,3527,0,0,0,0,0.108343162773281,3.11842975516437
4796,Nordeste,Maranhão,2111250,São José dos Basílios,7641,0,0,0,0,0.0288059396045384,1.14584779860061
4797,Sudeste,São Paulo,3549904,São José dos Campos,721944,206,28.534069124475,63,8.72643861573751,0.0968960649079236,2.0655945679374
4798,Nordeste,Paraíba,2514800,São José dos Cordeiros,3628,0,0,0,0,0.0308631461598168,0.894109295830971
4799,Sul,Paraná,4125506,São José dos Pinhais,323340,19,5.876167501701,10,3.09271973773737,0.0850908306861129,2.16159546873614
4800,Centro-Oeste,Mato Grosso,5107107,São José dos Quatro Marcos,18906,0,0,0,0,0.108508626344928,1.86050716706001
4801,Nordeste,Paraíba,2514453,São José dos Ramos,5957,0,0,0,0,0.00803930959799004,0.532529472425543
4802,Nordeste,Piauí,2210300,São Julião,6363,0,0,0,0,0.0238274271858643,0.774146867567057
4803,Sul,Rio Grande do Sul,4318705,São Leopoldo,236835,7,2.9556442248823,7,2.9556442248823,0.00958248809354245,0.554011316614501
4804,Sudeste,Minas Gerais,3163706,São Lourenço,45851,10,21.8097751412183,10,21.8097751412183,0.00507822336703612,0.350188218510412
4805,Nordeste,Pernambuco,2613701,São Lourenço da Mata,113230,10,8.83158173628897,10,8.83158173628897,0.0214986215338229,0.770225950349895
4806,Sudeste,São Paulo,3549953,São Lourenço da Serra,15825,0,0,0,0,0.016526213163047,0.756355303267803
4807,Sul,Santa Catarina,4216909,São Lourenço do Oeste,24076,0,0,0,0,0.0322502916818621,1.59326612798142
4808,Nordeste,Piauí,2210359,São Lourenço do Piauí,4573,0,0,0,0,0.0553402435774899,1.47753449176277
4809,Sul,Rio Grande do Sul,4318804,São Lourenço do Sul,43582,0,0,0,0,0.19276239087867,3.10190899284513
4810,Sul,Santa Catarina,4217006,São Ludgero,13410,0,0,0,0,0.0099089460165942,0.534406488296201
4811,Nordeste,Maranhão,2111300,São Luís,1101884,357,32.3990547099332,161,14.6113383985973,0.0678919216267033,1.27543437038055
4812,Centro-Oeste,Goiás,5220108,São Luís de Montes Belos,33817,9,26.61383327912,0,0,0.069895657486768,1.61182205321771
