OBJECTID,Codigo_Municipio,GR,Nome_Estado,Nome_municipio,Pop_Total,Total_Enfermeiros,Enfermeiros_SUS,Enfermeiros_100mil_hab_Ind,Enfermeiros_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
231,3502101,Sudeste,São Paulo,Andradina,57157,81,78,141.714925555925,136.466224609409,1109444511.33984,174703.012336428
232,4300661,Sul,Rio Grande do Sul,André da Rocha,1333,1,1,75.0187546886722,75.0187546886722,422236381.109375,129645.769595299
233,3102803,Sudeste,Minas Gerais,Andrelândia,12224,12,9,98.1675392670157,73.6256544502618,1170815352.31836,275421.252635823
234,3502200,Sudeste,São Paulo,Angatuba,25228,14,14,55.4938956714761,55.4938956714761,1225966579.79004,257283.53077449
235,3102852,Sudeste,Minas Gerais,Angelândia,8520,4,4,46.9483568075117,46.9483568075117,205203314.660156,82884.1034909655
236,5000856,Centro-Oeste,Mato Grosso do Sul,Angélica,10780,9,9,83.4879406307978,83.4879406307978,1489597733.06934,206472.807049521
237,2601003,Nordeste,Pernambuco,Angelim,11150,13,13,116.591928251121,116.591928251121,121701168.557861,60840.6821611145
238,4200903,Sul,Santa Catarina,Angelina,4801,7,7,145.802957717142,145.802957717142,638494358.21582,150327.105097721
239,2901403,Nordeste,Bahia,Angical,13977,12,12,85.85533376261,85.85533376261,1608989729.45313,221368.882269822
240,2200608,Nordeste,Piauí,Angical do Piauí,6788,6,6,88.3912787271656,88.3912787271656,227480758.672363,85336.2187112008
241,1701051,Norte,Tocantins,Angico,3433,3,3,87.3871249635887,87.3871249635887,460487028.654053,107349.051964223
242,2400802,Nordeste,Rio Grande do Norte,Angicos,11714,12,12,102.441522963975,102.441522963975,753794510.317383,151104.861902834
243,3300100,Sudeste,Rio de Janeiro,Angra dos Reis,203785,279,263,136.90899722747,129.057585200088,978118124.516602,576185.851852532
244,2901502,Nordeste,Bahia,Anguera,11221,12,12,106.942340254879,106.942340254879,197803003.830078,70496.8592955358
245,4101150,Sul,Paraná,Ângulo,2928,9,9,307.377049180328,307.377049180328,126064705.833008,64135.4696732301
246,5201207,Centro-Oeste,Goiás,Anhanguera,1149,1,1,87.0322019147084,87.0322019147084,63529351.6337891,37430.9833978647
247,3502309,Sudeste,São Paulo,Anhembi,6724,7,7,104.104699583581,104.104699583581,870801263.873047,194093.965780589
248,3502408,Sudeste,São Paulo,Anhumas,4115,3,3,72.9040097205346,72.9040097205346,376938627.353516,107455.563501904
249,5201306,Centro-Oeste,Goiás,Anicuns,21850,12,12,54.9199084668192,54.9199084668192,1070063057.12598,193254.638245017
250,2200707,Nordeste,Piauí,Anísio de Abreu,9880,10,10,101.214574898785,101.214574898785,348985905.990234,98840.691111916
251,4201000,Sul,Santa Catarina,Anita Garibaldi,7133,9,9,126.174120285995,126.174120285995,753263299.097656,174776.841788804
252,4201109,Sul,Santa Catarina,Anitápolis,3232,8,6,247.524752475248,185.643564356436,696474685.789063,139381.029279939
253,1300102,Norte,Amazonas,Anori,21010,10,10,47.5963826749167,47.5963826749167,6109529798.84082,728545.145940551
254,4300703,Sul,Rio Grande do Sul,Anta Gorda,5981,12,12,200.63534525999,200.63534525999,318572854.947266,117881.71374908
255,2901601,Nordeste,Bahia,Antas,19291,20,20,103.675288994868,103.675288994868,334549547.332031,108587.25485711
