Município,UTI adulto II COVID-19,UTI pediátrica II COVID-19,Unidade intermediária neonatal,Unidade isolamento,UTI adulto I,UTI adulto II,UTI adulto III,UTI pediátrica I,UTI pediátrica II,UTI pediátrica III,UTI neonatal I,UTI neonatal II,UTI neonatal III,UTI de Queimados,UTI coronariana tipo II -UCO tipo II,UTI coronariana tipo III - UCO tipo III,Unidade de cuidados intermed neonatal convencional,Unidade de cuidados intermed neonatal canguru,Unidade de cuidados intermed pediatrico,Unidade de cuidados intermed adulto,Total
320290 Itarana,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
320300 Iúna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320305 Jaguaré,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320310 Jerônimo Monteiro,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
320313 João Neiva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320316 Laranja da Terra,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
320320 Linhares,8,-,-,4,-,14,-,-,-,-,-,6,-,-,5,-,-,-,1,14,52
320330 Mantenópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320332 Marataízes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320334 Marechal Floriano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320335 Marilândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320340 Mimoso do Sul,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
320350 Montanha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320360 Mucurici,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320370 Muniz Freire,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320380 Muqui,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320390 Nova Venécia,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
320400 Pancas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320405 Pedro Canário,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320410 Pinheiros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320420 Piúma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320425 Ponto Belo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320430 Presidente Kennedy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320435 Rio Bananal,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
320440 Rio Novo do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320450 Santa Leopoldina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320455 Santa Maria de Jetibá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320460 Santa Teresa,10,-,-,2,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19
320465 São Domingos do Norte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320470 São Gabriel da Palha,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
320480 São José do Calçado,-,-,-,1,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
320490 São Mateus,8,-,-,4,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22
320495 São Roque do Canaã,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320500 Serra,70,-,-,-,-,52,-,-,-,-,-,36,-,3,-,-,30,10,-,13,214
320501 Sooretama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
320503 Vargem Alta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
