OBJECTID,Codigo_Municipio,Nome_municipio,Nome_Estado,GR,Pop_Total,Total_Medicos,Medicos_SUS,Medicos_100mil_hab_Ind,Medicos_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
542,2903201,Barreiras,Bahia,Nordeste,155439,319,233,205.225200882661,149.898030738746,0.652461828865967,6.27036436408534
543,2201309,Barreiras do Piauí,Piauí,Nordeste,3348,2,2,59.7371565113501,59.7371565113501,0.167246972303701,2.70740503045895
544,1300508,Barreirinha,Amazonas,Norte,32041,11,11,34.3310133890952,34.3310133890952,0.467962072834851,4.56329459297072
545,2101707,Barreirinhas,Maranhão,Nordeste,62528,51,51,81.5634595701126,81.5634595701126,0.246174177762946,3.01377271178897
546,2601409,Barreiros,Pernambuco,Nordeste,42659,49,47,114.864389695023,110.176047258492,0.0191806470723463,0.905129719375069
547,3505500,Barretos,São Paulo,Sudeste,122098,924,845,756.769152647873,692.067028124949,0.135628183556321,1.85187744704271
548,3505609,Barrinha,São Paulo,Sudeste,32812,55,40,167.621601852981,121.90661952944,0.0127048472957085,0.811426488157917
549,2302008,Barro,Ceará,Nordeste,22680,17,16,74.9559082892416,70.5467372134039,0.0582725013385357,1.17363074068761
550,2903235,Barro Alto,Bahia,Nordeste,14931,5,5,33.4873752595272,33.4873752595272,0.0343882786438883,1.06226407282084
551,5203203,Barro Alto,Goiás,Centro-Oeste,11167,13,11,116.414435389988,98.5045222530671,0.0918287708286698,2.01222373398895
552,2201408,Barro Duro,Piauí,Nordeste,7032,4,4,56.8828213879408,56.8828213879408,0.0130170637531819,0.542120578184732
553,2903300,Barro Preto,Bahia,Nordeste,5591,8,8,143.087104274727,143.087104274727,0.0169222156113733,0.735178513311758
554,2903276,Barrocas,Bahia,Nordeste,15978,10,10,62.5860558267618,62.5860558267618,0.0171792296458193,0.626872010945193
555,1703107,Barrolândia,Tocantins,Norte,5632,4,4,71.0227272727273,71.0227272727273,0.0587963820898096,1.63509422141077
556,2302057,Barroquinha,Ceará,Nordeste,15017,5,5,33.2955983219018,33.2955983219018,0.0311889727119663,0.911244874657869
557,4302006,Barros Cassal,Rio Grande do Sul,Sul,11199,7,5,62.5055808554335,44.6468434681668,0.0601493392668999,1.38694215054045
558,3105905,Barroso,Minas Gerais,Sudeste,20810,23,18,110.523786641038,86.4968765016819,0.00713809240710361,0.535940682721455
559,3505708,Barueri,São Paulo,Sudeste,274182,1584,1251,577.718449788826,456.266275685494,0.00580816817466712,0.549846421112804
560,3505807,Bastos,São Paulo,Sudeste,20953,30,28,143.177587934902,133.632415405908,0.0149422288911865,0.608134301877861
561,5001904,Bataguassu,Mato Grosso do Sul,Centro-Oeste,23024,54,41,234.53787352328,178.075052119527,0.211157313287003,2.6839376944373
562,2201507,Batalha,Piauí,Nordeste,26857,13,13,48.4045127899616,48.4045127899616,0.129402600477846,2.46080288828443
563,2700706,Batalha,Alagoas,Nordeste,18232,15,15,82.2729267222466,82.2729267222466,0.0263266258743045,0.72443774470307
564,3505906,Batatais,São Paulo,Sudeste,62508,141,119,225.571126895757,190.375631919114,0.073735797900099,1.61139501020579
565,5002001,Batayporã,Mato Grosso do Sul,Centro-Oeste,11329,15,11,132.403566069379,97.0959484508783,0.160310102737867,2.0421180502485
566,2302107,Baturité,Ceará,Nordeste,35750,41,40,114.685314685315,111.888111888112,0.0251406970669308,1.36729556598759
567,3506003,Bauru,São Paulo,Sudeste,376818,1036,634,274.933787664071,168.250985887086,0.0584963120563771,1.36594335038562
568,2501807,Bayeux,Paraíba,Nordeste,96880,106,95,109.413707679604,98.0594549958712,0.00225402199031066,0.317576686160595
569,3506102,Bebedouro,São Paulo,Sudeste,77496,217,136,280.014452358831,175.492928667286,0.0593266660330869,1.29322373399639
570,2302206,Beberibe,Ceará,Nordeste,53573,28,26,52.2651335560824,48.5319097306479,0.13230512662409,1.98457630760614
571,2302305,Bela Cruz,Ceará,Nordeste,32591,15,14,46.024976220429,42.9566444724004,0.068582399720043,1.3977132104679
572,5002100,Bela Vista,Mato Grosso do Sul,Centro-Oeste,24629,13,12,52.7833042348451,48.7230500629339,0.427706277634002,5.47010968395414
573,4102752,Bela Vista da Caroba,Paraná,Sul,3511,2,2,56.9638279692395,56.9638279692395,0.0133395672048664,0.818400125862477
574,5203302,Bela Vista de Goiás,Goiás,Centro-Oeste,29975,32,27,106.75562969141,90.0750625521268,0.108239309414557,2.26855972840298
